MIDI,dB,Total,Clarity,Crest,SpecBal,CPP,Entropy,dEGGmax,Qcontact,Icontact,HRFegg,maxCluster,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,maxCPhon,cPhon 1,cPhon 2,cPhon 3,cPhon 4,cPhon 5,cPhon 6
53,42,18,0.967327098,1.509365707,-15.62523852,18.41931549,6.01052,2.066517219,0.51355911,0.02916,-25.02883,5,0,0,2,0,3,6,0,0,0,0,0,5
53,45,28,0.978349328,1.544691509,-18.70014313,16.51561457,4.96841,1.750155659,0.502944058,0.09579,-19.35996,5,1,0,5,10,15,6,0,0,0,0,12,19
53,47,31,0.98169202,1.545621324,-20.97927398,15.28598137,4.60279,1.615154569,0.488549206,0.04279,-29.14052,5,0,0,0,0,11,6,0,0,0,0,0,11
53,48,18,0.984300731,1.484359594,-22.14393667,17.35165457,0,1.697678731,0.501925586,0.21084,-0.11647,2,0,3,3,0,0,3,0,0,3,0,3,0
53,49,11,0.988758959,1.544267356,-22.12212721,14.89261035,0.04379,1.253348988,0.508454181,0.22031,-0.3706,2,0,17,7,11,0,3,0,0,25,3,7,0
53,50,41,0.987468328,1.542964525,-23.76787073,16.86050675,0.11556,1.761164936,0.501564039,0.16981,-2.25097,3,0,0,2,0,0,3,0,0,2,0,0,0
53,51,96,0.985067965,1.616365546,-24.85588836,17.81587503,0.54898,2.38282094,0.496894905,0.20526,2.22265,4,0,0,24,77,0,4,0,0,23,74,1,3
53,52,88,0.989131127,1.525771756,-25.65683803,17.80250582,0.86474,2.318465475,0.509153485,0.19962,-2.71994,2,0,8,2,1,3,4,0,0,3,8,0,3
53,53,37,0.987709335,1.469709672,-26.87890336,19.14286555,3.58082,1.329595302,0.506417642,0.03678,-14.15465,5,0,0,1,0,2,6,0,0,0,0,0,3
53,54,19,0.990112996,1.590782267,-27.46047912,16.77652609,0.39004,2.7531631,0.453694506,0.1852,0.84058,4,0,2,7,9,0,5,0,0,0,1,17,0
53,55,12,0.977598728,1.652308962,-28.59179766,19.88434863,1.04157,2.262663548,0.458099101,0.20925,3.24072,4,0,0,0,4,0,4,0,0,0,3,1,0
53,56,44,0.983990808,1.689421144,-29.52600483,19.67145381,0.18997,3.317255771,0.443409259,0.34233,-3.63998,1,5,1,0,0,0,3,0,0,5,0,1,0
