frequencies,SPLs,Total,clarities,crests,SBs,CPPs,qdeltas,qcis
56,79,20,0.985664132,2.346242115,-16.86649637,29.39685075,8.655140523,0.46032507
56,80,30,0.98793909,2.281052653,-15.36586206,30.78255333,9.449779344,0.472242522
56,81,30,0.989521982,2.255286613,-14.61316766,31.15111392,9.781075627,0.478096793
56,82,10,0.990713655,2.194069896,-16.69651009,30.67590035,11.3458153,0.453361418
56,83,20,0.978387816,2.141449377,-15.82977379,29.59029095,10.49128291,0.459271702
56,85,10,0.97861195,2.136015932,-14.16890309,29.18187684,8.471962751,0.501682907
56,86,10,0.986792506,2.176716381,-13.43234193,31.30926835,8.165275941,0.504306498
57,50,29,0.989859291,1.618988302,-22.86447619,15.90355572,3.097359803,0.497789562
57,51,18,0.991836324,1.645577379,-24.65576889,16.24647016,3.216394142,0.497487346
57,52,29,0.992239526,1.619665548,-25.71184844,16.37792326,2.839860878,0.497106024
57,54,9,0.992555799,1.628832623,-27.90336249,16.86670809,1.961764709,0.497452145
57,56,10,0.992807059,1.650788423,-29.44270119,18.60462501,1.849670231,0.500446639
57,57,61,0.991725983,1.648593726,-30.66716402,17.42688872,1.96521855,0.495154654
57,58,10,0.991390444,1.648249669,-31.8166352,18.18649823,1.637228548,0.483662167
57,59,40,0.993414358,1.638812247,-32.44195749,18.05209097,1.796672166,0.474847904
57,60,100,0.992763394,1.655328509,-33.46647701,18.61617659,2.168484528,0.470860813
57,61,21,0.990447741,1.683840393,-31.85923878,21.06404409,3.713203776,0.369077702
57,62,60,0.987376087,1.714251188,-34.68772819,21.42940862,2.715925206,0.445301074
57,63,20,0.979472305,1.950406796,-35.42559582,19.45245218,8.334688143,0.291562008
57,64,41,0.987546335,2.006283229,-35.31349112,21.32378418,3.498455645,0.426884542
57,65,21,0.97824231,2.040018722,-35.0478221,21.87212319,5.442666603,0.375930691
57,66,49,0.984273798,2.136956408,-35.50967351,22.24123221,6.130152116,0.31536848
57,67,20,0.992281355,2.193487069,-34.37184399,23.11578948,7.44859835,0.27392882
57,68,20,0.970449724,1.909712065,-32.53992242,21.63962209,3.249973409,0.368742768
57,69,29,0.993350197,2.08536406,-30.7930056,24.61799736,5.249088062,0.361091139
57,70,49,0.986777139,1.932131206,-30.09948902,23.98521904,4.005795754,0.36604216
57,71,20,0.989787507,2.036726325,-25.41134103,25.11765102,4.395100017,0.368971376
57,72,49,0.991943398,2.015562968,-27.29209675,25.68250266,4.680994972,0.3788339
57,73,80,0.98812888,1.895050565,-29.70395541,25.76523059,4.74759883,0.389492976
57,74,40,0.990356441,2.120834763,-23.10548842,26.29035044,5.884340867,0.401455969
57,75,10,0.994302309,1.982775328,-26.62761682,28.8844449,5.467387643,0.430030208
57,76,20,0.994870202,1.967407884,-22.73544317,27.73224121,5.439374976,0.431118635
