MIDI,dB,Total,Clarity,Crest,SpecBal,CPP,Entropy,dEGGmax,Qcontact,Icontact,HRFegg,maxCluster,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,maxCPhon,cPhon 1,cPhon 2,cPhon 3,cPhon 4,cPhon 5,cPhon 6
52,84,83,0.978580039,2.984687213,-14.77017621,20.69709617,4.10117,11.687811,0.467466187,0.0539,-11.33045,5,0,0,2,3,16,6,0,0,0,1,3,17
52,85,176,0.97770135,2.977971927,-14.04598025,19.05900241,3.74105,8.658272193,0.47502768,0.01642,-20.07639,5,0,0,0,0,10,6,0,0,0,0,0,10
52,86,31,0.979134928,2.842731605,-14.27978274,18.65329885,5.73615,7.993682048,0.484709422,0.01431,-28.05724,5,0,0,0,0,26,6,0,0,0,0,0,26
53,42,8,0.967327098,1.634198447,-15.62523852,8.419315489,6.01052,4.236786798,0.504383283,0.02916,-25.02883,5,0,0,2,0,3,6,0,0,0,0,0,5
53,45,16,0.978349328,1.665312952,-18.70014313,6.51561457,4.96841,2.513109888,0.50647483,0.09579,-19.35996,5,1,0,5,10,15,6,0,0,0,0,12,19
53,47,16,0.98169202,1.624270729,-20.97927398,5.285981371,4.60279,2.331184287,0.502796892,0.04279,-29.14052,5,0,0,0,0,11,6,0,0,0,0,0,11
53,48,8,0.984300731,1.574329851,-22.14393667,7.351654575,0,2.643486944,0.495905504,0.21084,-0.11647,2,0,3,3,0,0,3,0,0,3,0,3,0
53,49,8,0.988758959,1.678466686,-22.12212721,4.892610349,0.04379,1.732983426,0.507291915,0.22031,-0.3706,2,0,17,7,11,0,3,0,0,25,3,7,0
53,50,23,0.987468328,1.59687626,-23.76787073,6.860506748,0.11556,2.363617257,0.507458332,0.16981,-2.25097,3,0,0,2,0,0,3,0,0,2,0,0,0
53,51,50,0.985067965,1.663190593,-24.85588836,7.81587503,0.54898,5.612143961,0.504373852,0.20526,2.22265,4,0,0,24,77,0,4,0,0,23,74,1,3
53,52,52,0.989131127,1.571326069,-25.65683803,7.802505821,0.86474,5.141525744,0.503528986,0.19962,-2.71994,2,0,8,2,1,3,4,0,0,3,8,0,3
53,53,25,0.987709335,1.580338301,-26.87890336,9.142865546,3.58082,1.884585788,0.505002966,0.03678,-14.15465,5,0,0,1,0,2,6,0,0,0,0,0,3
53,54,15,0.990112996,1.645746443,-27.46047912,6.776526089,0.39004,3.770926219,0.424683666,0.1852,0.84058,4,0,2,7,9,0,5,0,0,0,1,17,0
53,55,8,0.977598728,1.738894586,-28.59179766,9.884348629,1.04157,3.32045731,0.431214394,0.20925,3.24072,4,0,0,0,4,0,4,0,0,0,3,1,0
53,56,32,0.983990808,1.781180317,-29.52600483,9.671453806,0.18997,5.513335058,0.3928221,0.34233,-3.63998,1,5,1,0,0,0,3,0,0,5,0,1,0
53,58,57,0.987786296,1.767331262,-31.22058995,10.83385007,3.71738,3.194781485,0.401619988,0.08216,-22.18603,5,2,16,0,0,77,6,0,0,14,0,4,77
53,59,15,0.974066608,1.974606461,-31.42456008,8.078620395,0.80586,3.862481147,0.387254487,0.25411,-4.26751,2,0,8,0,4,1,3,0,0,6,0,6,1
53,61,15,0.974373941,2.371641039,-32.49606047,11.09921258,5.91911,6.095552605,0.313181073,0.03896,-31.87454,5,0,0,4,8,79,6,0,0,0,0,8,83
53,62,16,0.98299565,2.209670865,-32.46290643,14.39449084,4.3072,5.045080319,0.356244189,0.01635,-29.65075,5,0,0,0,0,4,6,0,0,0,0,0,4
53,63,8,0.991180128,2.216778264,-29.91871048,14.24945641,0.0376,8.395503552,0.364323255,0.24301,-0.64001,2,0,5,3,0,0,3,0,0,4,4,0,0
53,64,15,0.981508485,2.248388963,-27.14114853,16.4416739,0.11449,10.95975502,0.362892326,0.21608,-0.09438,2,0,15,9,6,0,3,0,0,12,10,8,0
53,65,31,0.974858923,2.438962586,-30.9235273,14.1398607,0.3797,6.684174659,0.327641094,0.2119,1.63741,4,0,0,6,17,0,4,0,0,6,17,0,0
53,66,22,0.984707526,2.560720616,-33.7325837,13.99909906,0.01173,4.731830982,0.298523942,0.29073,1.35805,2,0,15,0,5,0,2,0,15,0,5,0,0
53,67,61,0.983022736,2.514119258,-32.6379196,14.66082314,0.10575,4.968035324,0.319465176,0.22635,-1.63602,2,0,16,4,8,1,3,0,9,14,6,0,0
53,68,8,0.976921042,2.524083078,-31.71596153,14.9350923,1.03685,4.338697295,0.309247303,0.14766,-5.42174,4,0,0,3,4,0,3,0,0,5,0,0,2
